,Latitude,Longitude
autoweedhsc-20210627-115924.609661.jpg,-18.8104379817,146.136927757
autoweedhsc-20210627-115930.367444.jpg,-18.8097220133,146.136692648
autoweedhsc-20210627-115931.751661.jpg,-18.8095697083,146.136648493
autoweedhsc-20210627-115931.856391.jpg,-18.8095442500,146.136641025
autoweedhsc-20210627-115931.963080.jpg,-18.8095186333,146.136633640
autoweedhsc-20210627-115932.067159.jpg,-18.8095186333,146.136633640
autoweedhsc-20210627-115932.789518.jpg,-18.8094160400,146.136603608
autoweedhsc-20210627-115933.256583.jpg,-18.8093645367,146.136588417
autoweedhsc-20210627-115933.360446.jpg,-18.8093387717,146.136580985
autoweedhsc-20210627-115933.412746.jpg,-18.8093387717,146.136580985
autoweedhsc-20210627-115933.462880.jpg,-18.8093387717,146.136580985
autoweedhsc-20210627-115933.513488.jpg,-18.8093387717,146.136580985
autoweedhsc-20210627-115933.673962.jpg,-18.8093129517,146.136573348
autoweedhsc-20210627-115933.877305.jpg,-18.8092870667,146.136565877
autoweedhsc-20210627-115935.663173.jpg,-18.8090548100,146.136499220
autoweedhsc-20210627-115935.874482.jpg,-18.8090291767,146.136492018
autoweedhsc-20210627-115935.981454.jpg,-18.8090037033,146.136484667
autoweedhsc-20210627-115936.035954.jpg,-18.8090037033,146.136484667
autoweedhsc-20210627-115936.150660.jpg,-18.8089781350,146.136477642
autoweedhsc-20210627-115936.204292.jpg,-18.8089781350,146.136477642
autoweedhsc-20210627-115936.256805.jpg,-18.8089781350,146.136477642
autoweedhsc-20210627-115936.702494.jpg,-18.8089269700,146.136463202
autoweedhsc-20210627-115936.923983.jpg,-18.8089014500,146.136456003
autoweedhsc-20210627-115941.830948.jpg,-18.8082702750,146.136276125
autoweedhsc-20210627-120000.661893.jpg,-18.8058463267,146.135571945
autoweedhsc-20210627-120000.786480.jpg,-18.8058198317,146.135564297
autoweedhsc-20210627-120000.847386.jpg,-18.8058198317,146.135564297
autoweedhsc-20210627-120001.631853.jpg,-18.8057135550,146.135533320
autoweedhsc-20210627-120001.758978.jpg,-18.8056868550,146.135525560
autoweedhsc-20210627-120002.014259.jpg,-18.8056601183,146.135517718
