Latitude,Longitude
-19.26157153,146.7309518
-19.26157153,146.7309518
-19.26157153,146.7309518
-19.26157153,146.7309518
-19.26157265,146.7309514
-19.26157265,146.7309514
-19.26157265,146.7309514
-19.26157265,146.7309514
-19.26157283,146.7309516
-19.26157283,146.7309516
-19.26157283,146.7309516
-19.26157283,146.7309516
-19.26159323,146.7309457
-19.26159323,146.7309457
-19.26159323,146.7309457
-19.26159323,146.7309457
-19.26158861,146.7309477
-19.26158861,146.7309477
-19.26158861,146.7309477
-19.26158861,146.7309477
-19.26157415,146.7309515
-19.26157415,146.7309515
-19.26157415,146.7309515
-19.26157415,146.7309515
-19.26155967,146.7309554
-19.26155967,146.7309554
-19.26155967,146.7309554
-19.26155967,146.7309554
-19.26155881,146.730955
-19.26155881,146.730955
-19.26156907,146.7309529
-19.26156907,146.7309529
-19.26156907,146.7309529
-19.26156907,146.7309529
-19.26156306,146.7309547
-19.26156306,146.7309547
-19.26156306,146.7309547
-19.26156306,146.7309547
-19.26156023,146.7309548
-19.26156023,146.7309548
-19.26156023,146.7309548
-19.26156023,146.7309548
-19.26156735,146.7309526
-19.26156735,146.7309526
-19.26156735,146.7309526
-19.26156735,146.7309526
-19.26160343,146.7309416
-19.26160343,146.7309416
-19.26160343,146.7309416
-19.26159202,146.7309461
-19.26159202,146.7309461
-19.26159202,146.7309461
-19.26158533,146.7309478
-19.26158533,146.7309478
-19.26158533,146.7309478
-19.26157309,146.7309525
-19.26157309,146.7309525
-19.26157309,146.7309525
-19.26157309,146.7309525
-19.26156622,146.7309545
-19.26156622,146.7309545
-19.26156622,146.7309545
-19.26156622,146.7309545
-19.26157957,146.7309497
-19.26157957,146.7309497
-19.26157957,146.7309497
-19.26157957,146.7309497
-19.26154886,146.7309587
-19.26154886,146.7309587
-19.26154886,146.7309587
-19.26154807,146.7309584
-19.26154807,146.7309584
-19.26154807,146.7309584
-19.2615381,146.7309622
-19.2615381,146.7309622
-19.2615381,146.7309622
-19.2615381,146.7309622
-19.26154391,146.7309595
-19.26154391,146.7309595
-19.26154391,146.7309595
-19.26154504,146.7309586
-19.26154504,146.7309586
-19.26154504,146.7309586
-19.26155269,146.7309551
-19.26155269,146.7309551
-19.26155005,146.7309548
-19.26155005,146.7309548
-19.26155005,146.7309548
-19.26155005,146.7309548
-19.2615455,146.7309543
-19.2615455,146.7309543
